Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,19.01530919087797,18.868770192726238,19.163884805490852,0.14653899815173332,0.1485756146128807
beta1,0.6168128308973427,0.4784719066316609,0.752575758665522,0.13834092426568184,0.13576292776817922
psi,13.322293995821305,13.022448092681131,13.614280868224244,0.2998459031401737,0.29198687240293886
sigma,6.9613364766727235e-12,3.8559446214552395e-12,1.2731050045409433e-11,3.105391855217484e-12,5.76971356873671e-12
