Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,9.176798306179615,9.06843515228649,9.284509632311204,0.10836315389312468,0.1077113261315894
beta1,0.6024807690169849,0.4948653728250238,0.7046638000640256,0.10761539619196109,0.10218303104704074
psi,0.23227541965602877,0.12032881199332743,0.3527272300266471,0.11194660766270134,0.1204518103706183
sigma,0.7226904748391986,0.6671997719537412,0.7855323221307228,0.05549070288545732,0.0628418472915242
