Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,19.37356839187538,19.2231788089204,19.528214050989924,0.15038958295497906,0.15464565911454287
beta1,0.6620475085944898,0.5186156018606813,0.7998792723918629,0.14343190673380846,0.13783176379737305
psi,13.124986418941043,12.818358988958963,13.429003677400347,0.3066274299820808,0.3040172584593037
sigma,1.0753451947082582e-11,5.8099788499331046e-12,1.9980356990971774e-11,4.943473097149477e-12,9.226905043889192e-12
