Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,10.957928738924394,10.862991033940212,11.05217214812083,0.09493770498418286,0.09424340919643548
beta1,0.578308964642071,0.4856874249510899,0.6699020563402183,0.09262153969098114,0.09159309169814722
psi,0.2566437739806186,0.1438694519822507,0.37710819545023894,0.1127743219983679,0.12046442146962033
sigma,0.6140184658662051,0.5663986098235201,0.6695172110231083,0.04761985604268504,0.05549874515690323
