Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,9.171790426750768,9.060460187689937,9.282876400071183,0.1113302390608304,0.11108597332041548
beta1,0.6009972219994306,0.49056977718994,0.7053947353203344,0.11042744480949063,0.10439751332090375
psi,0.23072469592034917,0.11627576985622198,0.34895675116526914,0.11444892606412718,0.11823205524491998
sigma,0.7258493400691155,0.6706950848350594,0.7909657017440384,0.05515425523405615,0.06511636167492285
