Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,19.018179584958553,18.867463812185786,19.167351857260712,0.1507157727727666,0.14917227230215957
beta1,0.6280384644560195,0.48690095965526053,0.7669536330276241,0.14113750480075898,0.13891516857160457
psi,13.150089064757626,12.84349314423177,13.450235273048023,0.30659592052585616,0.3001462082903963
sigma,9.869799568796886e-12,5.3432703501510674e-12,1.8368136038869828e-11,4.526529218645818e-12,8.498336470072942e-12
