Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,30.733248281202474,30.630296376140066,30.835989810928847,0.10295190506240814,0.10274152972637296
beta1,0.04547287781323296,-0.05332174515882594,0.14334175892811576,0.0987946229720589,0.0978688811148828
psi,13.311831557140057,12.992873729294365,13.625764880845912,0.3189578278456917,0.31393332370585547
sigma,4.909099811662623e-12,2.606001575290929e-12,9.324811710362698e-12,2.3030982363716937e-12,4.415711898700075e-12
