Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,26.16203160792075,26.104101289572682,26.21879672491766,0.057930318348066834,0.056765116996910336
beta1,0.21003335658576755,0.15027278768755656,0.26637673485200386,0.05976056889821099,0.05634337826623631
psi,0.30456346174477134,0.1904164396440886,0.42435703630745697,0.11414702210068273,0.11979357456268563
sigma,0.35329630987155447,0.32590996909483144,0.38421380211389844,0.027386340776723028,0.03091749224234397
