Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,26.163925687488337,26.10522543822282,26.22203641353036,0.058700249265516646,0.05811072604202394
beta1,0.22050184613674748,0.16181250111104414,0.2774019235345569,0.05868934502570333,0.05690007739780942
psi,0.30410803332567476,0.18804522263316417,0.42503294292449517,0.11606281069251059,0.12092490959882041
sigma,0.35286701861048597,0.32524489639300425,0.38464272548263123,0.027622122217481726,0.03177570687214526
