date,actual,year,month
1963-09-01,28.01001,1963,9
1963-10-01,26.549316,1963,10
1963-11-01,23.413849,1963,11
1963-12-01,20.086243,1963,12
1964-01-01,20.68222,1964,1
1964-02-01,23.880707,1964,2
1964-03-01,28.913116,1964,3
1964-04-01,30.096558,1964,4
1964-05-01,30.152496,1964,5
1964-06-01,30.474213,1964,6
1964-07-01,27.475677,1964,7
1964-08-01,27.89618,1964,8
1964-09-01,27.361176,1964,9
1964-10-01,26.148468,1964,10
1964-11-01,22.31073,1964,11
1964-12-01,20.652191,1964,12
1965-01-01,20.675232,1965,1
1965-02-01,22.511688,1965,2
1965-03-01,26.288727,1965,3
1965-04-01,30.388855,1965,4
1965-05-01,31.592102,1965,5
1965-06-01,31.243439,1965,6
1965-07-01,27.788513,1965,7
1965-08-01,27.226898,1965,8
1965-09-01,27.219818,1965,9
1965-10-01,25.963562,1965,10
1965-11-01,23.073395,1965,11
1965-12-01,19.539124,1965,12
1966-01-01,19.260986,1966,1
1966-02-01,24.02182,1966,2
1966-03-01,27.930573,1966,3
1966-04-01,31.600494,1966,4
1966-05-01,32.76175,1966,5
1966-06-01,28.73227,1966,6
1966-07-01,28.428009,1966,7
1966-08-01,27.911438,1966,8
1966-09-01,27.16034,1966,9
1966-10-01,25.7128,1966,10
1966-11-01,24.04123,1966,11
1966-12-01,18.039032,1966,12
1967-01-01,18.652527,1967,1
1967-02-01,23.029694,1967,2
1967-03-01,25.292114,1967,3
1967-04-01,28.80127,1967,4
1967-05-01,30.319366,1967,5
1967-06-01,30.12851,1967,6
1967-07-01,28.408478,1967,7
1967-08-01,27.962952,1967,8
1967-09-01,27.826202,1967,9
1967-10-01,26.492584,1967,10
1967-11-01,22.521942,1967,11
1967-12-01,21.39972,1967,12
1968-01-01,19.21762,1968,1
1968-02-01,21.944122,1968,2
1968-03-01,27.494171,1968,3
1968-04-01,29.679688,1968,4
1968-05-01,31.182587,1968,5
1968-06-01,27.953735,1968,6
1968-07-01,28.315582,1968,7
1968-08-01,28.331573,1968,8
1968-09-01,28.823212,1968,9
1968-10-01,26.091888,1968,10
1968-11-01,22.442993,1968,11
1968-12-01,18.514221,1968,12
1969-01-01,18.505157,1969,1
1969-02-01,23.328766,1969,2
1969-03-01,28.191254,1969,3
1969-04-01,29.579346,1969,4
1969-05-01,29.476044,1969,5
1969-06-01,29.871796,1969,6
1969-07-01,28.443146,1969,7
1969-08-01,28.003113,1969,8
1969-09-01,27.90744,1969,9
1969-10-01,26.79245,1969,10
1969-11-01,23.621368,1969,11
1969-12-01,19.176483,1969,12
1970-01-01,19.405426,1970,1
1970-02-01,22.983856,1970,2
1970-03-01,26.85434,1970,3
1970-04-01,30.086304,1970,4
1970-05-01,30.73227,1970,5
1970-06-01,28.956696,1970,6
1970-07-01,28.698181,1970,7
1970-08-01,28.262787,1970,8
1970-09-01,27.871521,1970,9
1970-10-01,26.611603,1970,10
1970-11-01,22.101654,1970,11
1970-12-01,18.63388,1970,12
1971-01-01,19.473541,1971,1
1971-02-01,21.621002,1971,2
1971-03-01,26.267548,1971,3
1971-04-01,27.073792,1971,4
1971-05-01,28.723389,1971,5
1971-06-01,28.423462,1971,6
1971-07-01,27.832916,1971,7
1971-08-01,27.283905,1971,8
1971-09-01,28.173737,1971,9
1971-10-01,26.574036,1971,10
1971-11-01,22.283722,1971,11
1971-12-01,19.768402,1971,12
1972-01-01,18.973938,1972,1
1972-02-01,19.916077,1972,2
1972-03-01,28.132294,1972,3
1972-04-01,30.83081,1972,4
1972-05-01,31.881195,1972,5
1972-06-01,30.798492,1972,6
1972-07-01,29.081024,1972,7
1972-08-01,27.681427,1972,8
1972-09-01,28.258087,1972,9
1972-10-01,27.189514,1972,10
1972-11-01,24.520721,1972,11
1972-12-01,21.823303,1972,12
1973-01-01,21.309113,1973,1
1973-02-01,24.376099,1973,2
1973-03-01,26.107819,1973,3
1973-04-01,31.496918,1973,4
1973-05-01,30.310516,1973,5
1973-06-01,30.008148,1973,6
1973-07-01,28.611542,1973,7
1973-08-01,27.952637,1973,8
1973-09-01,27.702362,1973,9
1973-10-01,26.545746,1973,10
1973-11-01,22.786774,1973,11
1973-12-01,18.280243,1973,12
1974-01-01,18.69345,1974,1
1974-02-01,21.770538,1974,2
1974-03-01,26.526886,1974,3
1974-04-01,29.633698,1974,4
1974-05-01,30.22998,1974,5
1974-06-01,30.327057,1974,6
1974-07-01,27.969635,1974,7
1974-08-01,28.523926,1974,8
1974-09-01,27.826843,1974,9
1974-10-01,27.04187,1974,10
1974-11-01,23.434052,1974,11
1974-12-01,18.499725,1974,12
1975-01-01,18.490753,1975,1
1975-02-01,22.12082,1975,2
1975-03-01,27.235992,1975,3
1975-04-01,30.518158,1975,4
1975-05-01,31.62436,1975,5
1975-06-01,30.060242,1975,6
1975-07-01,27.84488,1975,7
1975-08-01,27.92865,1975,8
1975-09-01,27.331146,1975,9
1975-10-01,27.287811,1975,10
1975-11-01,21.58847,1975,11
1975-12-01,18.270844,1975,12
1976-01-01,19.047028,1976,1
1976-02-01,22.821808,1976,2
1976-03-01,27.878662,1976,3
1976-04-01,29.96872,1976,4
1976-05-01,29.875214,1976,5
1976-06-01,29.928253,1976,6
1976-07-01,28.342438,1976,7
1976-08-01,27.975677,1976,8
1976-09-01,27.891022,1976,9
1976-10-01,27.464874,1976,10
1976-11-01,25.444916,1976,11
1976-12-01,20.079712,1976,12
1977-01-01,18.948883,1977,1
1977-02-01,22.413422,1977,2
1977-03-01,28.1409,1977,3
1977-04-01,28.958557,1977,4
1977-05-01,28.821228,1977,5
1977-06-01,28.981506,1977,6
1977-07-01,28.330597,1977,7
1977-08-01,28.348053,1977,8
1977-09-01,28.50296,1977,9
1977-10-01,26.936127,1977,10
1977-11-01,24.660614,1977,11
1977-12-01,19.505249,1977,12
1978-01-01,18.087738,1978,1
1978-02-01,21.832611,1978,2
1978-03-01,25.69403,1978,3
1978-04-01,29.130615,1978,4
1978-05-01,30.573883,1978,5
1978-06-01,29.850983,1978,6
1978-07-01,28.348022,1978,7
1978-08-01,28.366669,1978,8
1978-09-01,27.788513,1978,9
1978-10-01,26.720306,1978,10
1978-11-01,24.689636,1978,11
1978-12-01,19.415619,1978,12
1979-01-01,20.250763,1979,1
1979-02-01,20.794159,1979,2
1979-03-01,27.140656,1979,3
1979-04-01,29.783356,1979,4
1979-05-01,31.954926,1979,5
1979-06-01,30.321442,1979,6
1979-07-01,29.230316,1979,7
1979-08-01,28.818878,1979,8
1979-09-01,28.358704,1979,9
1979-10-01,27.536652,1979,10
1979-11-01,25.911346,1979,11
1979-12-01,20.436798,1979,12
1980-01-01,19.480164,1980,1
1980-02-01,22.453094,1980,2
1980-03-01,26.738892,1980,3
1980-04-01,30.766266,1980,4
1980-05-01,31.09549,1980,5
1980-06-01,28.764374,1980,6
1980-07-01,28.475555,1980,7
1980-08-01,28.582184,1980,8
1980-09-01,28.391815,1980,9
1980-10-01,26.645416,1980,10
1980-11-01,23.102386,1980,11
1980-12-01,20.231903,1980,12
1981-01-01,19.07074,1981,1
1981-02-01,21.718475,1981,2
1981-03-01,25.024231,1981,3
1981-04-01,27.705475,1981,4
1981-05-01,28.269806,1981,5
1981-06-01,29.056305,1981,6
1981-07-01,28.122437,1981,7
1981-08-01,28.662872,1981,8
1981-09-01,28.21463,1981,9
1981-10-01,27.08609,1981,10
1981-11-01,22.805145,1981,11
1981-12-01,18.776093,1981,12
1982-01-01,20.207916,1982,1
1982-02-01,21.77481,1982,2
1982-03-01,25.054596,1982,3
1982-04-01,28.957184,1982,4
1982-05-01,31.022491,1982,5
1982-06-01,29.359528,1982,6
1982-07-01,29.429993,1982,7
1982-08-01,28.174011,1982,8
1982-09-01,28.847687,1982,9
1982-10-01,27.651367,1982,10
1982-11-01,23.328522,1982,11
1982-12-01,19.546356,1982,12
1983-01-01,19.184296,1983,1
1983-02-01,21.296173,1983,2
1983-03-01,26.970001,1983,3
1983-04-01,29.494232,1983,4
1983-05-01,29.967804,1983,5
1983-06-01,30.543945,1983,6
1983-07-01,29.142975,1983,7
1983-08-01,28.398987,1983,8
1983-09-01,28.299194,1983,9
1983-10-01,26.745453,1983,10
1983-11-01,23.691162,1983,11
1983-12-01,18.976044,1983,12
1984-01-01,18.990082,1984,1
1984-02-01,21.147797,1984,2
1984-03-01,27.059692,1984,3
1984-04-01,29.689728,1984,4
1984-05-01,30.318085,1984,5
1984-06-01,28.214539,1984,6
1984-07-01,28.240448,1984,7
1984-08-01,28.242401,1984,8
1984-09-01,28.155304,1984,9
1984-10-01,27.412018,1984,10
1984-11-01,22.56488,1984,11
1984-12-01,19.71753,1984,12
1985-01-01,20.169525,1985,1
1985-02-01,22.098175,1985,2
1985-03-01,28.348602,1985,3
1985-04-01,30.425262,1985,4
1985-05-01,29.255432,1985,5
1985-06-01,29.344574,1985,6
1985-07-01,27.893616,1985,7
1985-08-01,28.470154,1985,8
1985-09-01,27.842377,1985,9
1985-10-01,26.514435,1985,10
1985-11-01,23.073761,1985,11
1985-12-01,20.56009,1985,12
1986-01-01,18.89508,1986,1
1986-02-01,22.590546,1986,2
1986-03-01,27.659729,1986,3
1986-04-01,29.798737,1986,4
1986-05-01,29.660767,1986,5
1986-06-01,29.994171,1986,6
1986-07-01,28.442413,1986,7
1986-08-01,29.00888,1986,8
1986-09-01,27.783417,1986,9
1986-10-01,26.160248,1986,10
1986-11-01,23.788177,1986,11
1986-12-01,20.386261,1986,12
1987-01-01,18.830658,1987,1
1987-02-01,22.69043,1987,2
1987-03-01,26.878113,1987,3
1987-04-01,29.305298,1987,4
1987-05-01,30.21817,1987,5
1987-06-01,30.732117,1987,6
1987-07-01,28.579926,1987,7
1987-08-01,28.772919,1987,8
1987-09-01,28.832245,1987,9
1987-10-01,27.51236,1987,10
1987-11-01,23.747833,1987,11
1987-12-01,20.049103,1987,12
1988-01-01,19.19989,1988,1
1988-02-01,22.570831,1988,2
1988-03-01,26.745087,1988,3
1988-04-01,29.74588,1988,4
1988-05-01,30.133179,1988,5
1988-06-01,28.791168,1988,6
1988-07-01,28.715942,1988,7
1988-08-01,28.562958,1988,8
1988-09-01,28.60968,1988,9
1988-10-01,27.192322,1988,10
1988-11-01,24.052948,1988,11
1988-12-01,20.399445,1988,12
1989-01-01,17.70462,1989,1
1989-02-01,22.414124,1989,2
1989-03-01,26.554657,1989,3
1989-04-01,30.365631,1989,4
1989-05-01,30.330994,1989,5
1989-06-01,29.145966,1989,6
1989-07-01,28.49942,1989,7
1989-08-01,28.37973,1989,8
1989-09-01,28.089874,1989,9
1989-10-01,27.081451,1989,10
1989-11-01,23.323334,1989,11
