Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,30.748758808092575,30.64413300866939,30.85161183625173,0.10462579942318584,0.10285302815915642
beta1,0.05904966761200617,-0.04237391562699551,0.16049460835245447,0.10142358323900168,0.1014449407404483
psi,13.127033010536152,12.83593096901256,13.428037820239425,0.2911020415235921,0.30100480970327226
sigma,7.120276518424677e-12,3.870229341062607e-12,1.290040708370361e-11,3.25004717736207e-12,5.7801305652789325e-12
