Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,29.805669771628715,29.73497924698097,29.87658119342518,0.07069052464774472,0.07091142179646681
beta1,0.24082146813890043,0.16861026991804826,0.31162370620002705,0.07221119822085217,0.07080223806112662
psi,13.31339246867465,13.025852784937538,13.599689688312578,0.28753968373711203,0.28629721963792854
sigma,3.377806011900523e-12,1.8949603550172325e-12,6.029533009001904e-12,1.4828456568832904e-12,2.651726997101381e-12
