Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,24.040590228991498,23.977158293868282,24.104837024348672,0.06343193512321577,0.06424679535717459
beta1,0.34834028651398374,0.28412558477378,0.4122683785362429,0.06421470174020372,0.06392809202225913
psi,0.20581977088947784,0.08658919846864961,0.3298035023246974,0.11923057242082823,0.12398373143521957
sigma,0.4419381851233077,0.4072834939638961,0.48058463242452243,0.034654691159411555,0.03864644730121475
