Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,29.806632897336556,29.734975534771962,29.87762032314287,0.07165736256459354,0.07098742580631523
beta1,0.24596687630238215,0.17475717802810717,0.3179353232292829,0.07120969827427498,0.07196844692690077
psi,13.135832592872774,12.840724601601112,13.430943547905592,0.2951079912716619,0.29511095503281837
sigma,4.846445732098099e-12,2.66241966289422e-12,8.745592853948304e-12,2.184026069203879e-12,3.899147121850205e-12
