date,actual,year,month
1963-09-01,27.918213,1963,9
1963-10-01,23.95166,1963,10
1963-11-01,22.931427,1963,11
1963-12-01,17.951477,1963,12
1964-01-01,16.623627,1964,1
1964-02-01,15.222504,1964,2
1964-03-01,21.055695,1964,3
1964-04-01,25.852417,1964,4
1964-05-01,27.746246,1964,5
1964-06-01,28.819916,1964,6
1964-07-01,29.069427,1964,7
1964-08-01,28.448914,1964,8
1964-09-01,27.271332,1964,9
1964-10-01,25.076202,1964,10
1964-11-01,20.447449,1964,11
1964-12-01,16.386566,1964,12
1965-01-01,16.63617,1965,1
1965-02-01,19.265594,1965,2
1965-03-01,20.12857,1965,3
1965-04-01,25.027527,1965,4
1965-05-01,26.586243,1965,5
1965-06-01,27.034454,1965,6
1965-07-01,28.923279,1965,7
1965-08-01,28.236664,1965,8
1965-09-01,26.491302,1965,9
1965-10-01,24.998718,1965,10
1965-11-01,21.260895,1965,11
1965-12-01,16.503967,1965,12
1966-01-01,17.677002,1966,1
1966-02-01,19.660492,1966,2
1966-03-01,22.39151,1966,3
1966-04-01,25.975494,1966,4
1966-05-01,25.76175,1966,5
1966-06-01,27.630707,1966,6
1966-07-01,28.529572,1966,7
1966-08-01,27.319641,1966,8
1966-09-01,26.043152,1966,9
1966-10-01,24.29483,1966,10
1966-11-01,20.445526,1966,11
1966-12-01,18.290985,1966,12
1967-01-01,14.711121,1967,1
1967-02-01,15.348053,1967,2
1967-03-01,21.131958,1967,3
1967-04-01,24.104004,1967,4
1967-05-01,29.34085,1967,5
1967-06-01,29.644135,1967,6
1967-07-01,31.101837,1967,7
1967-08-01,29.439514,1967,8
1967-09-01,26.482452,1967,9
1967-10-01,24.207428,1967,10
1967-11-01,21.430145,1967,11
1967-12-01,15.2005005,1967,12
1968-01-01,17.88559,1968,1
1968-02-01,12.606232,1968,2
1968-03-01,20.310577,1968,3
1968-04-01,22.363281,1968,4
1968-05-01,28.004852,1968,5
1968-06-01,28.897095,1968,6
1968-07-01,30.430817,1968,7
1968-08-01,28.98587,1968,8
1968-09-01,27.725555,1968,9
1968-10-01,24.896576,1968,10
1968-11-01,22.839478,1968,11
1968-12-01,21.967346,1968,12
1969-01-01,18.110626,1969,1
1969-02-01,17.242828,1969,2
1969-03-01,20.734222,1969,3
1969-04-01,24.999268,1969,4
1969-05-01,29.895966,1969,5
1969-06-01,29.379608,1969,6
1969-07-01,29.611115,1969,7
1969-08-01,28.671082,1969,8
1969-09-01,27.5383,1969,9
1969-10-01,25.618622,1969,10
1969-11-01,18.920197,1969,11
1969-12-01,16.89328,1969,12
1970-01-01,15.536285,1970,1
1970-02-01,20.052216,1970,2
1970-03-01,18.881683,1970,3
1970-04-01,23.685913,1970,4
1970-05-01,28.179535,1970,5
1970-06-01,28.857086,1970,6
1970-07-01,29.571228,1970,7
1970-08-01,28.504974,1970,8
1970-09-01,27.348083,1970,9
1970-10-01,24.60965,1970,10
1970-11-01,20.19931,1970,11
1970-12-01,18.331146,1970,12
1971-01-01,14.932526,1971,1
1971-02-01,17.308502,1971,2
1971-03-01,20.783173,1971,3
1971-04-01,25.312073,1971,4
1971-05-01,27.440186,1971,5
1971-06-01,29.669556,1971,6
1971-07-01,28.702057,1971,7
1971-08-01,27.365936,1971,8
1971-09-01,27.466705,1971,9
1971-10-01,22.781067,1971,10
1971-11-01,20.006378,1971,11
1971-12-01,17.801605,1971,12
1972-01-01,16.811829,1972,1
1972-02-01,17.781311,1972,2
1972-03-01,21.76706,1972,3
1972-04-01,23.901123,1972,4
1972-05-01,28.795258,1972,5
1972-06-01,29.698883,1972,6
1972-07-01,29.248993,1972,7
1972-08-01,27.611115,1972,8
1972-09-01,27.117462,1972,9
1972-10-01,25.625061,1972,10
1972-11-01,21.409393,1972,11
1972-12-01,16.876038,1972,12
1973-01-01,16.693878,1973,1
1973-02-01,21.981567,1973,2
1973-03-01,23.66446,1973,3
1973-04-01,26.705902,1973,4
1973-05-01,29.203094,1973,5
1973-06-01,29.875336,1973,6
1973-07-01,29.127167,1973,7
1973-08-01,28.3042,1973,8
1973-09-01,26.641815,1973,9
1973-10-01,24.215668,1973,10
1973-11-01,20.749664,1973,11
1973-12-01,16.452118,1973,12
1974-01-01,16.259857,1974,1
1974-02-01,16.024445,1974,2
1974-03-01,19.069855,1974,3
1974-04-01,24.82315,1974,4
1974-05-01,28.8042,1974,5
1974-06-01,29.286041,1974,6
1974-07-01,29.758698,1974,7
1974-08-01,28.213379,1974,8
1974-09-01,27.649109,1974,9
1974-10-01,24.430542,1974,10
1974-11-01,21.35202,1974,11
1974-12-01,18.26535,1974,12
1975-01-01,16.385284,1975,1
1975-02-01,18.73996,1975,2
1975-03-01,21.622711,1975,3
1975-04-01,25.518158,1975,4
1975-05-01,27.698578,1975,5
1975-06-01,28.83368,1975,6
1975-07-01,29.630035,1975,7
1975-08-01,28.176697,1975,8
1975-09-01,27.60849,1975,9
1975-10-01,24.717499,1975,10
1975-11-01,19.533783,1975,11
1975-12-01,14.882172,1975,12
1976-01-01,15.888824,1976,1
1976-02-01,18.45462,1976,2
1976-03-01,19.568115,1976,3
1976-04-01,23.167938,1976,4
1976-05-01,27.181854,1976,5
1976-06-01,28.484894,1976,6
1976-07-01,29.108063,1976,7
1976-08-01,27.969818,1976,8
1976-09-01,27.447662,1976,9
1976-10-01,24.660187,1976,10
1976-11-01,18.314056,1976,11
1976-12-01,17.890259,1976,12
1977-01-01,13.216461,1977,1
1977-02-01,14.829437,1977,2
1977-03-01,20.85379,1977,3
1977-04-01,24.5484,1977,4
1977-05-01,28.858337,1977,5
1977-06-01,30.137756,1977,6
1977-07-01,29.1138,1977,7
1977-08-01,28.949615,1977,8
1977-09-01,26.991241,1977,9
1977-10-01,25.211517,1977,10
1977-11-01,20.090302,1977,11
1977-12-01,19.333374,1977,12
1978-01-01,16.279144,1978,1
1978-02-01,16.795502,1978,2
1978-03-01,20.904968,1978,3
1978-04-01,24.52124,1978,4
1978-05-01,27.29068,1978,5
1978-06-01,28.667389,1978,6
1978-07-01,29.072632,1978,7
1978-08-01,28.569794,1978,8
1978-09-01,26.300232,1978,9
1978-10-01,24.064056,1978,10
1978-11-01,20.771667,1978,11
1978-12-01,19.249603,1978,12
1979-01-01,17.66092,1979,1
1979-02-01,20.417206,1979,2
1979-03-01,21.056671,1979,3
1979-04-01,24.312653,1979,4
1979-05-01,26.824066,1979,5
1979-06-01,28.092926,1979,6
1979-07-01,30.329926,1979,7
1979-08-01,28.303253,1979,8
1979-09-01,27.30597,1979,9
1979-10-01,24.49173,1979,10
1979-11-01,20.106659,1979,11
1979-12-01,19.712189,1979,12
1980-01-01,17.589539,1980,1
1980-02-01,15.945282,1980,2
1980-03-01,23.059204,1980,3
1980-04-01,24.838531,1980,4
1980-05-01,27.831818,1980,5
1980-06-01,28.436249,1980,6
1980-07-01,29.151337,1980,7
1980-08-01,28.64859,1980,8
1980-09-01,27.092987,1980,9
1980-10-01,24.971588,1980,10
1980-11-01,23.03598,1980,11
1980-12-01,17.753387,1980,12
1981-01-01,17.551208,1981,1
1981-02-01,18.716522,1981,2
1981-03-01,22.617981,1981,3
1981-04-01,26.094147,1981,4
1981-05-01,26.761993,1981,5
1981-06-01,28.905914,1981,6
1981-07-01,28.897827,1981,7
1981-08-01,29.602325,1981,8
1981-09-01,28.036896,1981,9
1981-10-01,24.463043,1981,10
1981-11-01,20.980927,1981,11
1981-12-01,16.629608,1981,12
1982-01-01,18.205963,1982,1
1982-02-01,17.134186,1982,2
1982-03-01,21.027252,1982,3
1982-04-01,23.566559,1982,4
1982-05-01,27.577179,1982,5
1982-06-01,29.11734,1982,6
1982-07-01,29.719055,1982,7
1982-08-01,28.588074,1982,8
1982-09-01,26.775421,1982,9
1982-10-01,25.893555,1982,10
1982-11-01,22.557037,1982,11
1982-12-01,15.579559,1982,12
1983-01-01,14.633514,1983,1
1983-02-01,16.520782,1983,2
1983-03-01,19.374298,1983,3
1983-04-01,24.888763,1983,4
1983-05-01,28.739288,1983,5
1983-06-01,30.235352,1983,6
1983-07-01,31.318756,1983,7
1983-08-01,28.596252,1983,8
1983-09-01,28.299194,1983,9
1983-10-01,25.077484,1983,10
1983-11-01,20.447021,1983,11
1983-12-01,16.040497,1983,12
1984-01-01,13.701019,1984,1
1984-02-01,15.42514,1984,2
1984-03-01,20.274536,1984,3
1984-04-01,25.613556,1984,4
1984-05-01,27.095428,1984,5
1984-06-01,29.128601,1984,6
1984-07-01,29.531464,1984,7
1984-08-01,28.556854,1984,8
1984-09-01,27.41507,1984,9
1984-10-01,23.640533,1984,10
1984-11-01,22.635193,1984,11
1984-12-01,17.262451,1984,12
1985-01-01,14.665619,1985,1
1985-02-01,18.000519,1985,2
1985-03-01,17.557587,1985,3
1985-04-01,22.726044,1985,4
1985-05-01,28.550354,1985,5
1985-06-01,29.606293,1985,6
1985-07-01,28.960022,1985,7
1985-08-01,28.284607,1985,8
1985-09-01,27.233002,1985,9
1985-10-01,25.2117,1985,10
1985-11-01,21.802277,1985,11
1985-12-01,17.74173,1985,12
1986-01-01,16.879456,1986,1
1986-02-01,16.209686,1986,2
1986-03-01,20.544495,1986,3
1986-04-01,25.26944,1986,4
1986-05-01,27.119751,1986,5
1986-06-01,29.244171,1986,6
1986-07-01,28.969757,1986,7
1986-08-01,28.73935,1986,8
1986-09-01,27.15451,1986,9
1986-10-01,24.427826,1986,10
1986-11-01,20.805756,1986,11
1986-12-01,19.118683,1986,12
1987-01-01,19.176361,1987,1
1987-02-01,21.09082,1987,2
1987-03-01,24.190613,1987,3
1987-04-01,24.63733,1987,4
1987-05-01,29.49942,1987,5
1987-06-01,29.97821,1987,6
1987-07-01,29.535004,1987,7
1987-08-01,28.981903,1987,8
1987-09-01,27.43576,1987,9
1987-10-01,25.797516,1987,10
1987-11-01,21.68338,1987,11
1987-12-01,15.935822,1987,12
1988-01-01,17.965515,1988,1
1988-02-01,17.111847,1988,2
1988-03-01,18.180634,1988,3
1988-04-01,23.216583,1988,4
1988-05-01,28.726929,1988,5
1988-06-01,29.589996,1988,6
1988-07-01,29.688599,1988,7
1988-08-01,28.56491,1988,8
1988-09-01,27.619446,1988,9
1988-10-01,23.842712,1988,10
1988-11-01,20.357635,1988,11
1988-12-01,18.569366,1988,12
1989-01-01,15.208527,1989,1
1989-02-01,17.00592,1989,2
1989-03-01,20.128876,1989,3
1989-04-01,24.586334,1989,4
1989-05-01,26.944275,1989,5
1989-06-01,29.015106,1989,6
1989-07-01,29.183014,1989,7
1989-08-01,28.778168,1989,8
1989-09-01,28.26175,1989,9
1989-10-01,24.708405,1989,10
1989-11-01,21.479584,1989,11
1989-12-01,18.24707,1989,12
1990-01-01,17.330536,1990,1
1990-02-01,18.048737,1990,2
1990-03-01,20.905853,1990,3
1990-04-01,24.768219,1990,4
1990-05-01,26.073853,1990,5
1990-06-01,29.071442,1990,6
1990-07-01,28.83844,1990,7
1990-08-01,30.115265,1990,8
1990-09-01,28.085663,1990,9
1990-10-01,24.908173,1990,10
1990-11-01,22.372772,1990,11
1990-12-01,19.419281,1990,12
1991-01-01,17.728302,1991,1
1991-02-01,19.212067,1991,2
1991-03-01,22.550568,1991,3
1991-04-01,24.354279,1991,4
