Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,24.007248940945694,23.946663713940357,24.067219674696005,0.06058522700533686,0.05997073375031192
beta1,0.29955496433555184,0.2402415359804043,0.3593745946464168,0.05931342835514755,0.05981963031086496
psi,0.21928957727816295,0.10583608545629943,0.33524152411862285,0.11345349182186353,0.1159519468404599
sigma,0.4058803263628855,0.3741462851304959,0.4430948416256399,0.0317340412323896,0.03721451526275438
