Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,19.390907648095265,19.2392065085042,19.549635329024824,0.15170113959106502,0.1587276809295588
beta1,0.679902179277639,0.5376022545386775,0.8155128011606257,0.14229992473896147,0.13561062188298678
psi,13.31317787780836,13.022102034869881,13.609527170732166,0.2910758429384792,0.2963492929238054
sigma,7.305242265894528e-12,4.006946654174378e-12,1.3155496438104554e-11,3.2982956117201493e-12,5.8502541722100264e-12
