Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,24.040414249908704,23.97645071812132,24.10474350160398,0.06396353178738323,0.06432925169527692
beta1,0.3468782978676963,0.2843252747114394,0.40948682293561106,0.06255302315625688,0.06260852506791476
psi,0.20148108471814097,0.08207434387192175,0.32901727530462377,0.11940674084621922,0.1275361905864828
sigma,0.4405713697964069,0.40634857663398255,0.48012555057180567,0.034222793162424325,0.039554180775398795
