Parameter,Median,Lower_68CI,Upper_68CI,Minus_Error,Plus_Error
beta0,29.805386114063776,29.734184611755342,29.8761941663072,0.07120150230843336,0.07080805224342512
beta1,0.2386998119638286,0.16787924471772056,0.31030856565504317,0.07082056724610805,0.07160875369121456
psi,13.308222346461065,13.00574903007899,13.610030984389423,0.3024733163820752,0.30180863792835844
sigma,3.413199270296303e-12,1.854754490862365e-12,6.298517285089105e-12,1.558444779433938e-12,2.885318014792802e-12
